,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
179,0,True,active,0,23,206,0,2020-08-20 23:02:21+00:00,206,True,True,0,True,,,2020-08-20 23:03:00,2020
180,10,True,active,0,4,208,1,2020-08-20 22:55:27+00:00,208,True,True,0,True,,,2020-08-20 23:03:00,2020
181,11,True,active,0,3,209,1,2020-08-20 21:02:05+00:00,209,True,True,0,False,,,2020-08-20 23:03:00,2020
182,0,True,active,0,14,210,1,2020-08-20 18:49:02+00:00,210,True,True,0,False,,,2020-08-20 23:03:00,2020
183,10,True,active,0,9,211,0,2020-08-20 22:58:16+00:00,211,True,True,0,False,,,2020-08-20 23:03:00,2020
184,3,True,active,0,30,212,0,2020-08-20 22:42:58+00:00,212,True,True,0,False,,,2020-08-20 23:03:00,2020
185,2,True,active,0,14,213,0,2020-08-20 22:40:56+00:00,213,True,True,0,True,,,2020-08-20 23:03:00,2020
186,4,True,active,0,11,214,0,2020-08-20 22:51:13+00:00,214,True,True,0,False,,,2020-08-20 23:03:00,2020
187,7,True,active,0,4,215,4,2020-08-20 20:28:11+00:00,215,True,True,0,False,,,2020-08-20 23:03:00,2020
188,11,True,active,0,8,216,0,2020-08-20 21:35:16+00:00,216,True,True,0,False,,,2020-08-20 23:03:00,2020
189,1,True,active,0,17,217,1,2020-08-20 22:47:30+00:00,217,True,True,0,False,,,2020-08-20 23:03:00,2020
190,15,True,active,0,0,218,0,2020-08-20 22:22:10+00:00,218,True,True,0,False,,,2020-08-20 23:03:00,2020
191,5,True,active,0,10,219,0,2020-08-20 21:16:00+00:00,219,True,True,0,False,,,2020-08-20 23:03:00,2020
192,6,True,active,0,11,221,2,2020-08-20 23:00:05+00:00,221,True,True,0,False,,,2020-08-20 23:03:00,2020
193,5,True,active,0,9,222,0,2020-08-20 22:44:35+00:00,222,True,True,0,True,,,2020-08-20 23:03:00,2020
194,11,True,active,0,4,224,2,2020-08-20 22:56:13+00:00,224,True,True,0,False,,,2020-08-20 23:03:00,2020
195,2,True,active,0,15,225,2,2020-08-20 23:02:45+00:00,225,True,True,0,False,,,2020-08-20 23:03:00,2020
196,13,True,active,0,2,226,0,2020-08-20 22:58:38+00:00,226,True,True,0,False,,,2020-08-20 23:03:00,2020
197,12,True,active,0,7,227,0,2020-08-20 22:22:43+00:00,227,True,True,0,False,,,2020-08-20 23:03:00,2020
198,9,True,active,0,10,228,0,2020-08-20 22:54:04+00:00,228,True,True,0,False,,,2020-08-20 23:03:00,2020
199,1,True,active,0,10,232,0,2020-08-20 22:50:01+00:00,232,True,True,0,False,,,2020-08-20 23:03:00,2020
200,12,True,active,0,2,233,1,2020-08-20 22:52:06+00:00,233,True,True,0,False,,,2020-08-20 23:03:00,2020
201,5,True,active,0,10,234,0,2020-08-20 22:55:09+00:00,234,True,True,0,False,,,2020-08-20 23:03:00,2020
202,4,True,active,0,11,235,0,2020-08-20 22:50:56+00:00,235,True,True,0,False,,,2020-08-20 23:03:00,2020
203,9,True,active,0,6,236,0,2020-08-20 22:56:20+00:00,236,True,True,0,False,,,2020-08-20 23:03:00,2020
204,3,True,active,0,9,239,3,2020-08-20 22:12:43+00:00,239,True,True,0,False,,,2020-08-20 23:03:00,2020
205,6,True,active,0,9,255,0,2020-08-19 14:52:54+00:00,255,True,True,0,False,,,2020-08-20 23:03:00,2020
206,12,True,active,0,3,258,0,2020-08-20 22:20:39+00:00,258,True,True,0,False,,,2020-08-20 23:03:00,2020
207,9,True,active,0,6,259,0,2020-08-20 08:49:49+00:00,259,True,True,0,False,,,2020-08-20 23:03:00,2020
